Dataset,Seed,Arm,Train R2,Val R2,Test R2,Test MSE,Test MAE,Test R2 DCAA (ug/L),Test R2 TCAA (ug/L),Test R2 BCAA (ug/L),Test R2 HAA5 (ug/L),Test R2 HAA9 (ug/L),Params,viol_haa5,viol_haa9,viol_nonneg,Test R2 DCAA,Test R2 TCAA,Test R2 HAA5,Test R2 TTHM
original,1024,mlp_hier,0.6200213020540959,0.5870893341756476,0.3901328720626341,0.5439574977760071,0.5829819017314624,0.48694524283969054,0.4183974786215706,-0.03246431236560632,0.5644662522201727,0.5133196989973426,5061,0.15000000596046448,0.05000000074505806,0.0,,,,
original,1024,explainable,0.7189195520598461,0.1590482256001641,0.2507466715696788,0.6602968268973657,0.6670120198029423,0.31992590945745447,0.4000213427486743,-0.288289065623061,0.411095527680608,0.4109796435847175,177466,0.0,0.20000000298023224,0.05000000074505806,,,,
original,2025,mlp,0.9361908595247197,0.3533016974404462,0.3517724251956788,0.27264955693062165,0.39787455744689726,0.48309890358893104,0.5601444791875518,-0.4276657092411471,0.5651503586483186,0.5781340937947396,5061,0.15000000596046448,0.05000000074505806,0.0,,,,
original,2025,mlp_hier,0.9593254676076768,0.3539710778854587,0.3432988027838134,0.2768739417588552,0.38402362463528766,0.4946256218045326,0.5645030105249482,-0.4891094849609161,0.570276757358904,0.576198109191599,5061,0.05000000074505806,0.0,0.0,,,,
original,2025,explainable,0.9657053113959172,0.3040583403571595,0.3346894798896181,0.276037018099096,0.40496765521571787,0.42016626452658334,0.5202538902237919,-0.2406534780953944,0.5108366338018393,0.4628440889912706,177466,0.0,0.0,0.0,,,,
original,3407,mlp,0.6947173549115584,0.3781996780483955,0.021639971148508706,1.1397950634642628,0.7064763215814025,0.20175663103968355,-0.21741465886094868,0.11910973377765044,0.0193848441389034,-0.014636694352744728,5061,0.4000000059604645,0.3499999940395355,0.0,,,,
original,3407,mlp_hier,0.6828563758999018,0.39123723749299094,0.06959236226626966,1.1243872264287584,0.692727867861764,0.2806857672372709,-0.11347837360817348,0.09777425158045228,0.04520015617688833,0.03778000994491015,5061,0.3499999940395355,0.10000000149011612,0.0,,,,
original,3407,explainable,0.785587571056974,0.2627892174310089,0.019549936902084862,1.1389826086609078,0.6850776925388024,0.0894412365036561,-0.08447185923191736,0.1249088238485414,0.02529309143240721,-0.05742160804226293,177466,0.0,0.05000000074505806,0.0,,,,
original,5555,mlp,0.7381126185330752,0.6642276213440298,0.5653440033997827,0.47860021792324015,0.5252298494639198,0.654843789029433,0.6440834540596792,0.17643293150586847,0.6746573495293442,0.6767024928745888,5061,0.25,0.25,0.0,,,,
original,5555,mlp_hier,0.7330390937964336,0.6726754108715312,0.5664160548419102,0.4766820261124914,0.5236950428825932,0.6532932003064171,0.645271060663426,0.1746920111508521,0.6781042424645146,0.6807197596243413,5061,0.20000000298023224,0.10000000149011612,0.0,,,,
original,5555,explainable,0.6322726353862435,0.7059111701847064,0.5001836291291438,0.5514732652803771,0.5792464077635044,0.5297181821075136,0.6246075920452202,0.0891739461124863,0.6266657237312149,0.6307527016492843,177466,0.0,0.0,0.05000000074505806,,,,
original,7777,mlp,0.46666144428604583,0.1048381847880859,0.23509949085911072,1.0853006570744774,0.7273807618651943,0.20907445836094463,0.254027844841054,0.06954070712882798,0.2931017936706122,0.34975265029411573,5061,0.25,0.25,0.0,,,,
original,7777,mlp_hier,0.46440759217794875,0.11200044472710691,0.23390575920200854,1.0880882421578042,0.7284956042838535,0.20190576221568246,0.24187398091278933,0.07128606319037378,0.29973242309270987,0.3547305665984877,5061,0.15000000596046448,0.15000000596046448,0.0,,,,
original,7777,explainable,0.4381278845311753,0.20753796721927448,0.3118315379180655,0.9279789064484578,0.7308963317656906,0.3224516560887092,0.3169734944205721,-0.05441763940166777,0.43251337463713124,0.541636803845583,177466,0.15000000596046448,0.0,0.0,,,,
original,9999,mlp,0.876730367971744,0.09458025122762201,0.4418631223113617,1.4522944091032208,0.6805553359801572,0.5910454512782496,0.5190166982615139,-0.0461423344053955,0.5772496299997938,0.5681461664226464,5061,0.15000000596046448,0.44999998807907104,0.0,,,,
original,9999,mlp_hier,0.8753173506007059,0.09476771495143821,0.43800023193993365,1.460682486465769,0.6852111635758402,0.5841112881672901,0.5099779058178103,-0.051674381523389545,0.5785088261348315,0.5690775211031254,5061,0.05000000074505806,0.0,0.0,,,,
original,9999,explainable,0.8995370917985218,0.19289172971573176,0.4485796312805602,1.3951436938763992,0.6618476568104411,0.6129299613124506,0.4783070010165088,0.012214065843168642,0.5766347799279601,0.5628123483027132,177466,0.0,0.0,0.0,,,,
