Dataset,Seed,Scaler,Model,Train R2,Val R2,Test R2,Test MSE,Test MAE,Test R2 DCAA (ug/L),Test R2 TCAA (ug/L),Test R2 BCAA (ug/L),Test R2 HAA5 (ug/L),Test R2 HAA9 (ug/L),Params,Test R2 DCAA,Test R2 TCAA,Test R2 HAA5,Test R2 TTHM
original,3407,zscore,Explainable Model,0.785587571056974,0.2627892174310089,0.019549936902084862,1.1389826086609078,0.6850776925388024,0.0894412365036561,-0.08447185923191736,0.1249088238485414,0.02529309143240721,-0.05742160804226293,177466.0,,,,
original,3407,zscore,SVR,0.761641358785334,0.4231524767074652,0.2897187895082741,1.0437895449858348,0.5788903005198559,0.3988114971827661,0.2974501052416235,0.02067662548705873,0.34868975307891825,0.3829659665510041,,,,,
original,3407,robust,Explainable Model,0.6601610581326123,0.25293436658791657,0.1488042120282566,1.1517591338020798,0.5857792327359388,0.2258343010435373,0.06940605493930241,0.06583377058584727,0.16281671021628352,0.22013022335631294,177466.0,,,,
original,3407,robust,SVR,0.8394609215144303,0.39748287552826544,0.20695436380465332,1.090852278609253,0.577532214473475,0.36431453420885274,0.06981244603875514,0.11067880554461518,0.2019021188269957,0.2880639144040482,,,,,
original,3407,minmax,Explainable Model,0.5348360366223968,0.306765519941912,0.09456333727529745,0.05765527255859071,0.1670481879655393,0.14793038571947348,0.07237162069917158,-0.09396370381155461,0.1386391144399287,0.20783926932946795,177466.0,,,,
original,3407,minmax,SVR,0.749491207403588,0.2748322840563464,-0.693610752289408,0.0856867643636952,0.20005418700280245,-0.9497948592604502,-0.8553014466662332,0.19885030629714318,-1.1276664780478662,-0.7341412837696342,,,,,
original,5555,zscore,Explainable Model,0.6322726353862435,0.7059111701847064,0.5001836291291438,0.5514732652803771,0.5792464077635044,0.5297181821075136,0.6246075920452202,0.0891739461124863,0.6266657237312149,0.6307527016492843,177466.0,,,,
original,5555,zscore,SVR,0.6051549988754967,0.40239729725733164,0.5540201530102518,0.5004760380621232,0.5651384328398452,0.6347130158744941,0.6333874120951092,0.21849326637399402,0.6432861768073114,0.64022089390035,,,,,
original,5555,robust,Explainable Model,0.8057742270481661,0.5110699349690104,0.5586694210034481,0.615839116567309,0.5463297629485303,0.6506895033065807,0.5844242640477668,0.17403403652157046,0.6693886952667361,0.7148106058745866,177466.0,,,,
original,5555,robust,SVR,0.5436843042682493,0.31025471790535325,0.5157088120408261,0.6577125465654279,0.542523928564497,0.6140100849500372,0.5892331646176274,0.13484968297561517,0.6022783292711258,0.6381727983897247,,,,,
original,5555,minmax,Explainable Model,0.7140400227992498,0.6904963740938516,0.5793206466580065,0.024077025568440442,0.12345348717168769,0.6522909143573621,0.6762364539534562,0.17081171406154227,0.7047485492223817,0.6925156016952897,177466.0,,,,
original,5555,minmax,SVR,0.7813447752293148,0.42416388505454306,0.6179272822376991,0.020390575114829942,0.12375663607545143,0.7057782329446778,0.7641834057600148,0.12667487791300147,0.7418126554041826,0.7511872391666184,,,,,
original,7777,zscore,Explainable Model,0.4381278845311753,0.20753796721927448,0.3118315379180655,0.9279789064484578,0.7308963317656906,0.3224516560887092,0.3169734944205721,-0.05441763940166777,0.43251337463713124,0.541636803845583,177466.0,,,,
original,7777,zscore,SVR,0.6373244166090577,0.27440449625984936,0.40384295105935886,0.8570264570069005,0.6095881100571143,0.43008204264677397,0.37829479131230437,0.29600196534208334,0.42223713080068737,0.4925988251949458,,,,,
original,7777,robust,Explainable Model,0.37560295849843184,0.23229961225953666,0.30495082452465605,0.7212772272106076,0.634888577474656,0.28160698422126096,0.3270752852299238,-0.03863784785757862,0.42885356717228706,0.5258561338573875,177466.0,,,,
original,7777,robust,SVR,0.5445832042444161,0.2990336188510784,0.368752778815632,0.6515891941593316,0.513028909680032,0.39616041743358343,0.3689653329923147,0.06689771338634343,0.49787325123730586,0.5138671790286127,,,,,
original,7777,minmax,Explainable Model,0.3171685735433918,0.281317833095698,0.27094532255185616,0.06171180019387178,0.1887961981107373,0.17527616231922827,0.37412975055154607,-0.08472707596651374,0.3721044624880486,0.5179433133669716,177466.0,,,,
original,7777,minmax,SVR,0.4039740336190093,0.2274368804497154,0.33305159237133586,0.06073169257538721,0.1712178570794761,0.36838044183380947,0.36532496672883896,0.14093980942536932,0.3533044048910752,0.43730833897758603,,,,,
original,9999,zscore,Explainable Model,0.8995370917985218,0.19289172971573176,0.4485796312805602,1.3951436938763992,0.6618476568104411,0.6129299613124506,0.4783070010165088,0.012214065843168642,0.5766347799279601,0.5628123483027132,177466.0,,,,
original,9999,zscore,SVR,0.7274081615884962,0.044391800802516236,0.41276429749203825,1.524752841763925,0.7055651988305747,0.5347419954656231,0.516749777295047,-0.09872648938548712,0.5646424599374738,0.5464137441475347,,,,,
original,9999,robust,Explainable Model,0.8766566479487399,0.15459317474648054,0.43809001143772386,1.1129453831328386,0.5827971930655476,0.5798916023690357,0.46353138596872423,0.03871064350078024,0.5439644538958383,0.5643519714542407,177466.0,,,,
