Dataset,Seed,Arm,Train R2,Val R2,Test R2,Test MSE,Test MAE,Test R2 DCAA (ug/L),Test R2 TCAA (ug/L),Test R2 BCAA (ug/L),Test R2 HAA5 (ug/L),Test R2 HAA9 (ug/L),Params,Best epoch,Train-Test gap,Test R2 DCAA,Test R2 TCAA,Test R2 HAA5,Test R2 TTHM
ontario,123,dropout_0.5,0.5592149921158909,0.22676401090824327,0.6401589792044465,0.2840092929762146,0.3951059535418571,,,,,,134985,22,-0.08094398708855566,0.6329589708067795,0.6230420555815234,0.7325104788314464,0.572124411598037
ontario,123,capacity_16,0.4947507182727529,0.29114108115499027,0.5576281047714624,0.345488544280635,0.41214512915767615,,,,,,34217,30,-0.0628773864987095,0.6054334021357575,0.5691719744186524,0.5953534523819715,0.46055359014946895
ontario,123,capacity_8,0.5517209499935962,0.33133336367751803,0.6100969043909854,0.3097364313801575,0.3865856640062079,,,,,,8793,67,-0.058375954397389185,0.562231283130391,0.6001086517215634,0.7669517588614785,0.5110959238505086
ontario,123,strong_reg,0.4939834287742132,0.29039158328903497,0.5794585462115118,0.3335697159871096,0.4067523585612317,,,,,,34217,33,-0.08547511743729863,0.5910623792365592,0.5744060316510823,0.6156900506696699,0.5366757232887356
ontario,456,default,0.6610359630065104,0.6788265096869379,0.5857004887160726,0.8118041697598312,0.5953723449819373,,,,,,134985,36,0.07533547429043774,0.5977310298187759,0.5806932133268778,0.621586650991903,0.542791060726734
ontario,456,wd_1e-4,0.7316463312073545,0.6807896688147628,0.6067887627123916,0.7702210796787129,0.5791416816244903,,,,,,134985,58,0.12485756849496288,0.6212850085076245,0.6042298326578082,0.6372977751003079,0.5643424345838264
ontario,456,wd_1e-3,0.7154831941322101,0.6808863631073483,0.600664241582154,0.781971529960267,0.5832073806784829,,,,,,134985,59,0.11481895255005603,0.6215150755413974,0.5957095212977552,0.6295030690864936,0.5559293004029697
ontario,456,dropout_0.3,0.6394414149368437,0.6761241033566613,0.5726029515280696,0.8382060141575831,0.6055902716498507,,,,,,134985,38,0.06683846340877408,0.5830494134840186,0.5719727696947996,0.6016387161673222,0.533750906766138
ontario,456,dropout_0.5,0.7065183492162066,0.6999271669034444,0.5934680710633893,0.794852242775576,0.5812146824254071,,,,,,134985,196,0.11305027815281732,0.6136694538576402,0.593796368197882,0.627155801165832,0.539250661032203
ontario,456,capacity_16,0.6644437937691682,0.6724821340525247,0.5912955249404925,0.7979532839326171,0.6016779040028805,,,,,,34217,64,0.07314826882867564,0.6107095504743776,0.5841325873257793,0.6421267834483249,0.5282131785134879
ontario,456,capacity_8,0.6991355368939174,0.7189522483381363,0.5511642741203346,0.8798495472164056,0.6211671451779309,,,,,,8793,144,0.14797126277358275,0.5887195357263051,0.5266400074859869,0.5815449098584742,0.5077526434105729
ontario,456,strong_reg,0.7238175431610205,0.691305800724902,0.6044282693914966,0.7731892371016205,0.5819475151518425,,,,,,34217,175,0.11938927376952391,0.6331731126916013,0.5889835094142801,0.6456930945530968,0.549863360907008
