Protocol,Fold,Model,Train R2,Val R2,Test R2,Test MSE,Test MAE,Test R2 DCAA,Test R2 TCAA,Test R2 HAA5,Test R2 TTHM,Params
random,3407,Support Vector Regression,0.7899869159683741,0.6216808841086046,0.6023960114162628,0.5129857746249209,0.4655719459189158,0.6463964726879303,0.5959344426493159,0.6543048425525649,0.5129482877752404,
random,3407,XGBoost,0.9866490691432089,0.4882164934044661,0.517056801188702,0.5994034773650939,0.4999884288417774,0.36617560706012386,0.5370343614013035,0.5852390871280437,0.5797781491653371,
random,3407,TabNet,0.820070459544564,0.6401192113742447,0.6543216783884336,0.4441026568475999,0.4492899322660933,0.6754462582003324,0.643549311412269,0.6852016501416385,0.6130894937994946,6126.0
random,3407,Multi-task MLP,0.6441095425265813,0.6612044130875694,0.5113609261255639,0.6285689051054535,0.539944473961898,0.5620440914494489,0.5234884122224831,0.5638960154374472,0.39601518539287683,4932.0
random,3407,Explainable Model,0.7507261403795246,0.6765179431149473,0.5951497041875402,0.5148552274510702,0.4771949339820364,0.5856957513501478,0.6060927262680982,0.6261278194387547,0.56268251969316,134985.0
random,5555,Random Forest,0.9469997553678954,0.47866750005412034,0.5299837941668032,0.3449759961507909,0.37388609564467945,0.481588454269684,0.5734712158760125,0.6052868561741583,0.45958865034735774,
random,5555,Support Vector Regression,0.8995079867035461,0.2055914423461789,0.3866595531243354,0.4490518195907843,0.4181730739759485,0.2642478783694999,0.43511223085829576,0.40910408453592795,0.4381740187336184,
random,5555,XGBoost,0.966071996431766,0.3217208147245082,0.5412160937562391,0.33396302901995667,0.37002323618156124,0.4258210020307489,0.6113003363143379,0.6615128962847852,0.4662301403950848,
random,5555,TabNet,0.5259205730630038,0.5778254809429274,0.2939783082415194,0.5219760517054223,0.524110788415995,0.30256748213777696,0.3144394884978219,0.3212664491993962,0.23763981313108262,6126.0
random,5555,Multi-task MLP,0.6092619867796518,0.40449157896468446,0.39377067716429837,0.4477229475164889,0.4858229770191041,0.3937618633831166,0.41859842111634604,0.42047575778275637,0.34224666637497403,4932.0
random,5555,Explainable Model,0.7399641727960551,0.484711288964821,0.4586090392613622,0.39665467005797816,0.405177006320542,0.3869036027404128,0.5163453557128035,0.5135792731072877,0.41760792548494496,134985.0
random,7777,Random Forest,0.9050411998823839,0.5457374372242725,0.6748480322707613,0.3697837325332483,0.4353265505996903,0.6427993514593204,0.6880858722718233,0.7231933979743466,0.6453135073775551,
random,7777,Support Vector Regression,0.7352397500687647,0.5650339958628777,0.644552256824755,0.40382637658778076,0.45076055040761326,0.6233206531263381,0.6475195464689302,0.6800652991541983,0.6273035285495534,
random,7777,XGBoost,0.9448917312606889,0.6683833920739096,0.683667504282339,0.3612191038831408,0.4293043512128562,0.6388926057310367,0.6544935347198848,0.7339705587865961,0.7073133178918384,
random,7777,TabNet,0.49578220741067885,0.6036990154155387,0.5020018449771757,0.5723855925988992,0.5204988972346332,0.4116571672032169,0.518234965679155,0.5233833773070172,0.5547318697193135,6126.0
random,7777,Multi-task MLP,0.8815473566037204,0.6106003200176665,0.625437501452186,0.4248221157584936,0.47366643297212696,0.6108853439599495,0.6340284354306003,0.6619793196280088,0.5948569067901853,4932.0
random,7777,Explainable Model,0.879916129916298,0.7818090624413739,0.6247405706210203,0.42769168643795785,0.4579034356083107,0.5982022726348434,0.6351692440777057,0.6377077709353857,0.6278829948361464,134985.0
random,9999,Random Forest,0.9456427989865599,0.21121093062356036,0.39102148072689236,0.6383837071834935,0.5329564067983386,0.2998104942024261,0.35651976915099604,0.3823261811722394,0.5254294783819078,
