Dataset,Experiment,Arm,Seed,Train R2,Val R2,Test R2,Test MSE,Test MAE,Test R2 DCAA (ug/L),Test R2 TCAA (ug/L),Test R2 BCAA (ug/L),Test R2 HAA5 (ug/L),Test R2 HAA9 (ug/L),Params,Test R2 DCAA,Test R2 TCAA,Test R2 HAA5,Test R2 TTHM
original,feature,remove_Temp,2025,0.7244702994586254,0.2431876706850639,0.09498843329663416,0.371243087881572,0.5001141892781228,0.21130080942313223,0.30210165991388216,-0.4690750430933823,0.2982179773756811,0.13239676286385815,163914.0,,,,
original,feature,remove_pH,2025,0.826401866902702,0.25119571464143053,0.19552387030241034,0.3341157790857886,0.45322669125463155,0.31031824949035136,0.4490311718950526,-0.520688141586416,0.3714028316437442,0.3675552400693196,163882.0,,,,
original,feature,remove_UVA254,2025,0.684930714188025,0.3132605683782258,0.23013310190215278,0.3115589258730962,0.4510838871457906,0.3619093703066437,0.22689976823920166,-0.08172657105620518,0.3767204190877531,0.266862522933371,163914.0,,,,
original,feature,remove_Cl2,2025,0.9263803186868879,0.2803979072999339,0.31039727856614335,0.28631750417319074,0.4282702087327361,0.4118336437197039,0.5066604487213586,-0.3041713821243417,0.4787907537406755,0.45887292877332064,150593.0,,,,
original,feature,remove_NO2-N,2025,0.247371276723437,0.05503140408312781,0.07332739363332774,0.3676918764773981,0.5041460785848121,0.23781281591721082,-0.07126560072559318,0.05228417964067422,0.13820535969689973,0.009600213637447452,163914.0,,,,
original,feature,remove_DOC,2025,0.9627645791326301,0.16687706097346594,-0.09500852285891234,0.4595780047702462,0.5043050318141327,0.09969496103745712,0.3278267636906046,-1.3248263171010795,0.2647690858142545,0.15749289226420105,163898.0,,,,
original,feature,remove_NH4-N,2025,0.9277251140162539,0.21115824950735324,0.07730045872266,0.37387224988975615,0.457341978275328,0.09815551260055033,0.20577505664675055,-0.2212258167668475,0.16323885472262878,0.14055868641021785,163914.0,,,,
original,feature,remove_Br,2025,0.7364676773860169,0.21492609892473685,0.15245427887277768,0.3498870377754816,0.48210408529756565,0.31338955197053664,0.36926676619843435,-0.5205127702508114,0.33653429900633924,0.2635935474393898,163881.0,,,,
original,feature,baseline_all_features,3407,0.785587571056974,0.2627892174310089,0.019549936902084862,1.1389826086609078,0.6850776925388024,0.0894412365036561,-0.08447185923191736,0.1249088238485414,0.02529309143240721,-0.05742160804226293,177466.0,,,,
original,feature,remove_Temp,3407,0.6703025598480207,0.3013296871117753,0.046666812244257484,1.2110207526274475,0.7089424766560052,0.08468930301590416,0.010634688840249429,-0.01419669735643403,-0.011307376915161926,0.16351414363672956,163914.0,,,,
