Dataset,Seed,Lambda,Train R2,Val R2,Test R2,Test MSE,Test MAE,Test R2 DCAA (ug/L),Test R2 TCAA (ug/L),Test R2 BCAA (ug/L),Test R2 HAA5 (ug/L),Test R2 HAA9 (ug/L),Params,viol_haa5,viol_haa9,viol_nonneg,Test R2 DCAA,Test R2 TCAA,Test R2 HAA5,Test R2 TTHM
ontario,2025,0.1,0.5638171550262491,0.37664456545631086,0.5237926905140349,0.46640915965414426,0.5035928617240713,,,,,,134985,0.3396226465702057,,0.11320754885673523,0.5459336385710634,0.4666193371759262,0.6229612977569696,0.45965648855218033
ontario,2025,0.5,0.5592278283997604,0.38273885420862674,0.5331993429490761,0.46090252316170344,0.4996747595931924,,,,,,134985,0.24528302252292633,,0.11320754885673523,0.5334995020424211,0.5237275041053415,0.6156853491701253,0.4598850164784165
ontario,2025,1.0,0.5984632981679066,0.38769817991982247,0.5605809021762727,0.4340793388188167,0.47312680231583837,,,,,,134985,0.18867924809455872,,0.1320754736661911,0.5582821881799943,0.5590808261756922,0.6416785360112629,0.4832820583381413
ontario,3407,0.0,0.7512625859826652,0.6791057420437796,0.5958217994940007,0.5140880104939687,0.47748858183374676,,,,,,134985,0.0,,0.01886792480945587,0.5881171877726232,0.6078889431890617,0.6255137746980632,0.5617672923162551
ontario,3407,0.01,0.7511662465517273,0.6783133526170101,0.5954118453190919,0.5145499257007786,0.47740791108693514,,,,,,134985,0.0,,0.03773584961891174,0.5868843488794718,0.6072346648109039,0.6256636641700442,0.5618647034159474
ontario,3407,0.05,0.7508535346396417,0.6769829369980099,0.5946749486854099,0.5153109227886721,0.4775569834837502,,,,,,134985,0.0,,0.03773584961891174,0.5846549265877916,0.6067947643980728,0.6250019294770555,0.5622481742787201
ontario,3407,0.1,0.7507261403795246,0.6765179431149473,0.5951497041875402,0.5148552274510702,0.4771949339820364,,,,,,134985,0.0,,0.056603774428367615,0.5856957513501478,0.6060927262680982,0.6261278194387547,0.56268251969316
ontario,3407,0.5,0.697149808446438,0.6899556106219606,0.5711725130067924,0.553055271040265,0.48681319269392387,,,,,,134985,0.0,,0.03773584961891174,0.6210056855349493,0.5637075517621171,0.6067087940517693,0.49326802067833375
ontario,3407,1.0,0.6925628828283936,0.6924886743374967,0.5667246674288522,0.5593510770276352,0.4929611130104205,,,,,,134985,0.01886792480945587,,0.0,0.6206843820891981,0.5562182482864941,0.6021303567674227,0.4878656825722939
ontario,5555,0.0,0.739759885342134,0.4841256501923458,0.45967899106722415,0.3956766258077532,0.4039869486633657,,,,,,134985,0.35849055647850037,,0.0,0.37867514770878774,0.5165052523697315,0.523106183256133,0.4204293809342443
ontario,5555,0.01,0.7398908882721597,0.4839841939634023,0.4596267626582742,0.3957263393104624,0.4042196434876798,,,,,,134985,0.2641509473323822,,0.0,0.37907679941411854,0.5164504509033674,0.5228342481020373,0.42014555221357397
ontario,5555,0.05,0.7399976936561433,0.4843831630756652,0.45943743034193907,0.3959472256578125,0.4049454080173933,,,,,,134985,0.0,,0.0,0.38338451025711573,0.5169257246266648,0.5182597439585881,0.4191797425253877
ontario,5555,0.1,0.7399641727960551,0.484711288964821,0.4586090392613622,0.39665467005797816,0.405177006320542,,,,,,134985,0.0,,0.0,0.3869036027404128,0.5163453557128035,0.5135792731072877,0.41760792548494496
ontario,5555,0.5,0.7397619670647502,0.47971192998052703,0.45099029054200257,0.40225571964024087,0.4097919629598354,,,,,,134985,0.0,,0.0,0.3856671863258724,0.5133553684344685,0.4908189302331962,0.4141196771744733
ontario,5555,1.0,0.6198855280713802,0.4699605571633071,0.32584042842953664,0.49630261559534794,0.4672285560018533,,,,,,134985,0.0,,0.0,0.3728123510382335,0.4204009941127017,0.3733445606108655,0.1368038079563454
